Recency,Frequency,Monetary,R,F,M
247,2,172.98,3,3,4
521,1,41.24,1,1,2
2,12,1019.69,4,4,4
371,5,155.82,3,4,4
107,11,458.16,4,4,4
521,1,19.99,1,1,2
227,2,51.69,3,3,3
521,1,18.76,1,1,1
521,1,9.98,1,1,1
521,1,23.0,1,1,2
369,2,19.04,3,3,1
117,9,297.23,4,4,4
42,5,276.24,4,4,4
510,2,60.84,1,3,3
462,1,43.53,3,1,2
330,3,109.76,3,3,4
120,2,236.54,4,3,4
521,1,19.99,1,1,2
521,1,12.77,1,1,1
147,2,249.04,4,3,4
521,1,11.77,1,1,1
521,1,42.17,1,1,2
212,4,35.52,3,4,2
521,1,16.36,1,1,1
521,1,26.13,1,1,2
521,1,28.34,1,1,2
148,3,38.04,4,3,2
9,2,77.46,4,3,3
499,2,108.67,2,3,4
521,1,9.97,1,1,1
10,22,498.04,4,4,4
113,2,24.45,4,3,2
20,3,69.32,4,3,3
383,3,50.09,3,3,3
521,1,71.62,1,1,3
509,1,55.87,1,1,3
521,1,11.77,1,1,1
491,2,50.74,2,3,3
521,1,13.97,1,1,1
61,15,492.6,4,4,4
521,1,6.79,1,1,1
311,4,80.08,3,4,3
521,1,32.74,1,1,2
521,1,30.32,1,1,2
521,1,14.96,1,1,1
245,3,83.68,3,3,3
520,1,50.3,1,1,3
521,1,15.76,1,1,1
512,1,23.54,1,1,2
281,4,85.41,3,4,3
521,1,10.77,1,1,1
521,1,77.24,1,1,3
304,4,229.04,3,4,4
521,1,14.99,1,1,1
515,2,41.44,1,3,2
520,1,52.15,1,1,3
302,2,43.11,3,3,2
521,1,47.14,1,1,3
310,2,29.33,3,3,2
16,4,168.4,4,4,4
490,1,225.01,2,1,4
519,1,6.79,1,1,1
501,2,82.47,2,3,3
520,1,18.28,1,1,1
521,1,15.36,1,1,1
521,1,208.77,1,1,4
521,1,12.77,1,1,1
521,1,58.9,1,1,3
521,1,14.96,1,1,1
204,8,319.08,4,4,4
193,3,100.12,4,3,3
378,2,46.67,3,3,3
280,2,76.96,3,3,3
521,1,43.35,1,1,2
521,1,39.75,1,1,2
199,6,224.68,4,4,4
193,2,28.35,4,3,2
475,2,112.42,2,3,4
311,2,47.28,3,3,3
521,1,24.98,1,1,2
521,1,30.76,1,1,2
482,2,87.61,2,3,3
426,3,64.43,3,3,3
521,1,19.98,1,1,1
521,1,11.97,1,1,1
521,1,20.53,1,1,2
367,3,124.12,3,3,4
521,1,31.99,1,1,2
521,1,34.75,1,1,2
14,10,731.04,4,4,4
521,1,70.24,1,1,3
115,2,43.84,4,3,3
498,2,32.76,2,3,2
521,1,40.91,1,1,2
92,3,70.85,4,3,3
513,2,88.04,1,3,3
52,5,153.61,4,4,4
521,1,15.36,1,1,1
199,3,128.21,4,3,4
32,3,119.89,4,3,4
198,2,43.35,4,3,2
39,11,445.47,4,4,4
462,2,37.75,3,3,2
163,7,126.86,4,4,4
155,3,42.73,4,3,2
520,1,13.97,1,1,1
163,5,360.32,4,4,4
10,9,632.45,4,4,4
116,2,101.61,4,3,3
520,1,14.37,1,1,1
520,1,12.49,1,1,1
520,1,24.99,1,1,2
511,2,28.34,1,3,2
520,1,38.5,1,1,2
520,1,58.73,1,1,3
40,5,147.64,4,4,4
520,1,12.77,1,1,1
406,5,58.89,3,4,3
520,1,42.95,1,1,2
520,1,14.96,1,1,1
520,1,43.3,1,1,2
520,1,21.97,1,1,2
41,5,176.25,4,4,4
520,1,21.74,1,1,2
520,1,26.13,1,1,2
520,1,39.48,1,1,2
480,2,60.1,2,3,3
519,1,17.54,1,1,1
31,9,168.8,4,4,4
516,1,20.67,1,1,2
520,1,9.98,1,1,1
520,1,14.37,1,1,1
278,2,50.73,3,3,3
8,24,989.18,4,4,4
520,1,19.99,1,1,2
493,3,62.44,2,3,3
343,13,681.23,3,4,4
520,1,75.48,1,1,3
520,1,13.97,1,1,1
303,2,203.07,3,3,4
520,1,14.99,1,1,1
520,1,20.37,1,1,2
520,1,26.14,1,1,2
489,1,15.36,2,1,1
520,1,59.26,1,1,3
520,1,38.53,1,1,2
520,1,135.7,1,1,4
520,1,29.75,1,1,2
128,9,218.92,4,4,4
465,2,80.69,3,3,3
184,7,175.08,4,4,4
520,1,11.77,1,1,1
99,2,46.25,4,3,3
48,5,170.73,4,4,4
520,1,15.96,1,1,1
520,1,31.76,1,1,2
520,1,10.99,1,1,1
520,1,59.82,1,1,3
520,1,14.96,1,1,1
268,2,50.53,3,3,3
520,1,12.97,1,1,1
520,1,12.97,1,1,1
503,2,191.99,2,3,4
520,1,50.67,1,1,3
283,2,133.87,3,3,4
85,7,238.45,4,4,4
465,2,39.94,3,3,2
479,2,56.46,2,3,3
520,1,15.36,1,1,1
17,13,414.55,4,4,4
317,2,38.51,3,3,2
29,3,92.29,4,3,3
508,1,35.04,1,1,2
420,4,101.05,3,4,3
54,4,89.72,4,4,3
135,3,148.63,4,3,4
7,36,4968.0,4,4,4
520,1,11.77,1,1,1
520,1,46.08,1,1,3
520,1,12.49,1,1,1
520,1,30.15,1,1,2
520,1,15.76,1,1,1
497,1,29.99,2,1,2
37,11,342.42,4,4,4
72,8,148.64,4,4,4
464,2,85.38,3,3,3
353,2,41.74,3,3,2
517,2,43.13,1,3,2
251,4,157.75,3,4,4
520,1,34.94,1,1,2
371,2,29.33,3,3,2
520,1,13.77,1,1,1
519,1,82.02,1,1,3
479,2,24.98,2,3,2
520,1,27.13,1,1,2
115,3,83.81,4,3,3
374,3,83.19,3,3,3
501,2,134.33,2,3,4
5,12,371.08,4,4,4
520,1,39.97,1,1,2
520,1,29.58,1,1,2
477,2,195.86,2,3,4
506,1,9.97,1,1,1
8,6,128.35,4,4,4
520,1,29.33,1,1,2
18,5,139.03,4,4,4
520,1,8.77,1,1,1
520,1,27.94,1,1,2
520,1,73.95,1,1,3
478,3,88.4,2,3,3
520,1,14.96,1,1,1
520,1,15.7,1,1,1
520,1,13.97,1,1,1
442,4,153.9,3,4,4
520,1,26.14,1,1,2
520,1,26.99,1,1,2
520,1,29.92,1,1,2
520,1,14.79,1,1,1
520,1,16.36,1,1,1
520,1,12.97,1,1,1
442,2,29.92,3,3,2
497,2,33.4,2,3,2
520,1,14.37,1,1,1
519,1,83.22,1,1,3
335,2,34.98,3,3,2
256,8,283.01,3,4,4
520,1,76.6,1,1,3
504,3,48.48,2,3,3
514,1,31.32,1,1,2
520,1,14.37,1,1,1
520,1,92.18,1,1,3
520,1,15.36,1,1,1
520,1,63.33,1,1,3
229,2,56.74,3,3,3
520,1,15.36,1,1,1
520,1,21.3,1,1,2
264,4,121.05,3,4,4
501,2,43.11,2,3,2
520,1,24.98,1,1,2
520,1,13.97,1,1,1
450,3,350.97,3,3,4
520,1,27.77,1,1,2
67,2,76.65,4,3,3
520,1,34.98,1,1,2
520,1,76.2,1,1,3
520,1,32.31,1,1,2
520,1,12.49,1,1,1
520,1,35.35,1,1,2
520,1,29.92,1,1,2
402,3,76.78,3,3,3
291,2,37.75,3,3,2
363,3,228.95,3,3,4
520,1,9.77,1,1,1
520,1,14.37,1,1,1
520,1,11.99,1,1,1
519,1,45.94,1,1,3
520,1,13.97,1,1,1
520,1,99.1,1,1,3
520,1,26.73,1,1,2
469,3,158.31,3,3,4
62,4,81.22,4,4,3
520,1,29.13,1,1,2
368,2,81.82,3,3,3
366,4,124.78,3,4,4
520,1,37.71,1,1,2
440,4,337.32,3,4,4
149,22,1002.71,4,4,4
520,1,12.97,1,1,1
481,1,24.14,2,1,2
520,1,15.36,1,1,1
128,12,407.06,4,4,4
520,1,16.36,1,1,1
520,1,4.79,1,1,1
520,1,20.0,1,1,2
371,2,56.99,3,3,3
45,4,66.55,4,4,3
36,11,305.02,4,4,4
185,2,36.68,4,3,2
383,3,103.34,3,3,3
520,1,19.76,1,1,1
505,1,14.37,2,1,1
20,18,1018.01,4,4,4
219,5,125.06,3,4,4
520,1,6.79,1,1,1
336,3,42.31,3,3,2
520,1,22.99,1,1,2
457,7,229.22,3,4,4
520,1,15.36,1,1,1
520,1,17.76,1,1,1
519,1,73.97,1,1,3
221,3,51.74,3,3,3
520,1,11.77,1,1,1
520,1,10.77,1,1,1
93,4,119.03,4,4,4
520,1,21.99,1,1,2
520,1,16.36,1,1,1
428,2,41.07,3,3,2
24,13,735.91,4,4,4
471,4,126.19,3,4,4
491,2,57.21,2,3,3
46,5,224.5,4,4,4
434,2,27.73,3,3,2
39,4,84.92,4,4,3
180,4,98.55,4,4,3
204,2,45.51,4,3,3
518,1,9.78,1,1,1
519,2,35.6,1,3,2
239,2,97.72,3,3,3
518,1,40.31,1,1,2
520,1,13.97,1,1,1
520,1,167.04,1,1,4
495,1,33.4,2,1,2
520,1,12.49,1,1,1
520,1,9.77,1,1,1
520,1,12.49,1,1,1
520,1,93.77,1,1,3
1,5,163.11,4,4,4
110,4,103.78,4,4,3
520,1,48.23,1,1,3
520,1,76.01,1,1,3
520,1,34.99,1,1,2
512,2,135.16,1,3,4
520,1,45.29,1,1,3
83,7,176.27,4,4,4
520,1,14.37,1,1,1
325,2,30.97,3,3,2
520,1,25.54,1,1,2
48,10,238.85,4,4,4
520,1,26.76,1,1,2
100,7,156.69,4,4,4
520,1,15.36,1,1,1
518,1,54.99,1,1,3
519,2,36.48,1,3,2
509,3,44.17,1,3,3
520,1,14.96,1,1,1
520,1,29.98,1,1,2
501,2,87.97,2,3,3
520,1,65.57,1,1,3
520,1,12.49,1,1,1
520,1,5.78,1,1,1
520,1,14.99,1,1,1
520,1,15.36,1,1,1
236,5,308.63,3,4,4
88,6,151.18,4,4,4
371,4,39.71,3,4,2
493,4,158.87,2,4,4
318,3,171.64,3,3,4
520,1,11.77,1,1,1
520,1,16.7,1,1,1
418,2,34.96,3,3,2
488,2,73.34,2,3,3
452,2,34.98,3,3,2
520,1,11.77,1,1,1
94,4,182.24,4,4,4
519,1,29.33,1,1,2
24,3,106.11,4,3,3
323,2,144.24,3,3,4
520,1,50.32,1,1,3
520,1,43.13,1,1,2
519,2,27.94,1,3,2
21,14,365.36,4,4,4
520,1,59.96,1,1,3
308,3,38.1,3,3,2
471,2,85.93,3,3,3
415,3,36.04,3,3,2
520,1,66.49,1,1,3
187,3,117.36,4,3,4
520,1,53.29,1,1,3
24,12,402.22,4,4,4
513,2,41.1,1,3,2
101,3,78.58,4,3,3
162,9,212.16,4,4,4
167,5,113.68,4,4,4
520,1,23.99,1,1,2
235,4,51.59,3,4,3
520,1,13.97,1,1,1
26,4,99.27,4,4,3
21,3,62.71,4,3,3
520,1,33.27,1,1,2
520,1,22.97,1,1,2
520,1,11.77,1,1,1
520,1,11.77,1,1,1
520,1,15.36,1,1,1
518,1,13.58,1,1,1
102,6,130.16,4,4,4
506,1,27.94,1,1,2
520,1,14.99,1,1,1
505,2,171.91,2,3,4
520,1,15.36,1,1,1
275,4,78.89,3,4,3
245,9,345.23,3,4,4
520,1,42.49,1,1,2
520,1,37.51,1,1,2
286,2,55.14,3,3,3
520,1,45.13,1,1,3
387,2,27.94,3,3,2
32,7,598.99,4,4,4
520,1,23.97,1,1,2
520,1,14.37,1,1,1
520,1,57.05,1,1,3
520,1,66.38,1,1,3
520,1,14.96,1,1,1
385,3,73.14,3,3,3
2,6,134.22,4,4,4
519,1,15.36,1,1,1
519,1,101.14,1,1,3
7,10,434.86,4,4,4
511,3,179.87,1,3,4
519,1,10.77,1,1,1
519,1,13.97,1,1,1
514,2,64.97,1,3,3
0,13,566.42,4,4,4
505,2,44.97,2,3,3
32,6,109.26,4,4,4
519,1,11.77,1,1,1
498,2,76.8,2,3,3
120,4,143.35,4,4,4
307,2,104.62,3,3,3
519,1,128.49,1,1,4
478,2,47.48,2,3,3
76,6,364.69,4,4,4
476,3,71.25,2,3,3
519,1,13.97,1,1,1
519,1,18.54,1,1,1
519,1,35.34,1,1,2
519,1,61.04,1,1,3
519,1,6.79,1,1,1
473,1,13.97,2,1,1
320,5,90.38,3,4,3
515,1,15.77,1,1,1
343,2,57.45,3,3,3
519,1,13.97,1,1,1
519,1,71.82,1,1,3
519,1,14.37,1,1,1
474,1,25.74,2,1,2
475,2,92.56,2,3,3
519,1,103.53,1,1,3
37,19,686.53,4,4,4
519,1,19.99,1,1,2
519,1,29.9,1,1,2
16,9,814.0,4,4,4
519,1,123.31,1,1,4
519,1,26.14,1,1,2
519,1,11.77,1,1,1
307,10,571.58,3,4,4
154,2,176.95,4,3,4
519,1,56.3,1,1,3
293,2,126.82,3,3,4
519,1,14.96,1,1,1
475,3,73.4,2,3,3
519,1,13.97,1,1,1
519,1,26.73,1,1,2
485,2,156.47,2,3,4
519,1,37.98,1,1,2
124,2,23.35,4,3,2
511,1,47.3,1,1,3
519,1,24.7,1,1,2
519,1,27.99,1,1,2
269,3,486.85,3,3,4
480,2,60.74,2,3,3
518,1,200.76,1,1,4
50,3,64.34,4,3,3
519,1,38.77,1,1,2
368,2,36.31,3,3,2
519,1,39.9,1,1,2
519,1,13.97,1,1,1
285,6,233.51,3,4,4
519,1,22.7,1,1,2
519,1,26.14,1,1,2
519,1,12.97,1,1,1
519,1,8.77,1,1,1
506,2,36.55,1,3,2
88,3,101.43,4,3,3
2,11,696.29,4,4,4
519,1,11.77,1,1,1
476,2,32.26,2,3,2
519,1,11.77,1,1,1
16,6,294.02,4,4,4
28,7,313.41,4,4,4
2,4,403.83,4,4,4
519,1,11.77,1,1,1
264,3,48.3,3,3,3
519,1,7.98,1,1,1
519,1,11.77,1,1,1
48,10,189.04,4,4,4
519,1,43.73,1,1,3
497,1,13.97,2,1,1
519,1,14.37,1,1,1
284,2,89.54,3,3,3
23,11,259.01,4,4,4
258,5,179.8,3,4,4
200,8,517.26,4,4,4
519,1,14.79,1,1,1
519,1,17.99,1,1,1
515,1,129.33,1,1,4
44,12,494.77,4,4,4
519,1,65.47,1,1,3
11,4,85.96,4,4,3
147,4,114.82,4,4,4
519,1,24.74,1,1,2
34,6,181.22,4,4,4
507,2,74.8,1,3,3
49,7,215.01,4,4,4
491,1,44.71,2,1,3
519,1,11.77,1,1,1
189,5,74.66,4,4,3
519,1,65.85,1,1,3
519,1,27.77,1,1,2
231,6,262.92,3,4,4
223,2,37.25,3,3,2
33,3,36.05,4,3,2
519,1,24.98,1,1,2
287,2,19.78,3,3,1
454,2,37.49,3,3,2
248,4,106.5,3,4,3
519,1,16.36,1,1,1
519,1,34.99,1,1,2
62,8,180.45,4,4,4
519,1,24.14,1,1,2
518,1,5.78,1,1,1
517,1,12.77,1,1,1
213,8,279.97,3,4,4
519,1,20.99,1,1,2
272,2,71.96,3,3,3
339,3,108.95,3,3,4
75,6,119.27,4,4,4
12,4,78.46,4,4,3
237,3,60.07,3,3,3
519,1,13.97,1,1,1
519,1,13.97,1,1,1
496,2,17.28,2,3,1
518,2,104.15,1,3,3
189,3,83.51,4,3,3
519,1,75.27,1,1,3
351,4,73.2,3,4,3
518,2,319.89,1,3,4
519,1,42.5,1,1,2
101,3,73.18,4,3,3
519,1,135.8,1,1,4
146,3,68.28,4,3,3
217,3,117.93,3,3,4
501,1,102.34,2,1,3
519,1,106.19,1,1,3
516,2,43.13,1,3,2
225,2,45.94,3,3,3
519,1,14.9,1,1,1
43,3,88.49,4,3,3
237,3,50.23,3,3,3
420,3,205.74,3,3,4
519,1,14.37,1,1,1
333,5,142.4,3,4,4
519,1,21.54,1,1,2
519,1,14.99,1,1,1
120,3,256.51,4,3,4
340,3,50.8,3,3,3
519,1,18.99,1,1,1
519,1,432.76,1,1,4
17,11,427.9,4,4,4
512,2,35.8,1,3,2
74,2,30.89,4,3,2
519,1,32.98,1,1,2
519,1,9.77,1,1,1
519,1,82.23,1,1,3
519,1,16.99,1,1,1
112,4,105.44,4,4,3
519,1,60.87,1,1,3
519,1,15.76,1,1,1
201,2,143.25,4,3,4
519,1,11.77,1,1,1
519,1,27.37,1,1,2
519,1,25.78,1,1,2
55,5,143.61,4,4,4
519,1,12.97,1,1,1
519,1,28.74,1,1,2
20,9,136.07,4,4,4
519,1,14.37,1,1,1
519,1,66.38,1,1,3
512,2,30.72,1,3,2
113,2,191.94,4,3,4
519,1,12.49,1,1,1
167,2,24.75,4,3,2
519,1,25.74,1,1,2
519,1,117.93,1,1,4
519,1,26.14,1,1,2
249,2,58.34,3,3,3
467,3,271.23,3,3,4
101,6,135.84,4,4,4
351,3,50.31,3,3,3
32,5,216.16,4,4,4
519,1,14.37,1,1,1
519,1,58.86,1,1,3
437,5,67.99,3,4,3
519,1,9.9,1,1,1
512,2,88.74,1,3,3
239,2,52.74,3,3,3
519,1,41.1,1,1,2
112,9,274.27,4,4,4
107,3,147.0,4,3,4
301,6,158.71,3,4,4
519,1,15.99,1,1,1
519,1,24.99,1,1,2
2,11,350.05,4,4,4
245,2,25.96,3,3,2
467,3,266.21,3,3,4
478,2,43.29,2,3,2
518,1,26.13,1,1,2
96,2,138.5,4,3,4
519,1,15.9,1,1,1
503,2,127.07,2,3,4
508,1,13.97,1,1,1
519,1,8.77,1,1,1
519,1,15.36,1,1,1
519,1,56.32,1,1,3
519,1,50.9,1,1,3
147,5,98.12,4,4,3
111,7,99.59,4,4,3
477,2,96.94,2,3,3
515,2,116.7,1,3,4
519,1,11.77,1,1,1
519,1,23.99,1,1,2
519,1,13.97,1,1,1
519,1,37.03,1,1,2
519,1,31.97,1,1,2
370,3,92.64,3,3,3
519,1,20.99,1,1,2
469,2,55.2,3,3,3
519,1,47.77,1,1,3
519,1,23.34,1,1,2
461,3,118.99,3,3,4
507,1,23.54,1,1,2
519,1,6.79,1,1,1
519,1,12.97,1,1,1
248,2,103.7,3,3,3
50,14,1044.98,4,4,4
413,4,149.51,3,4,4
519,1,66.74,1,1,3
489,2,41.69,2,3,2
113,2,159.81,4,3,4
502,2,99.17,2,3,3
1,5,97.23,4,4,3
517,2,11.76,1,3,1
283,2,44.31,3,3,3
259,4,226.43,3,4,4
480,2,20.94,2,3,2
519,1,24.74,1,1,2
519,1,17.7,1,1,1
519,1,14.37,1,1,1
519,1,31.48,1,1,2
519,1,6.79,1,1,1
519,1,25.74,1,1,2
519,1,29.73,1,1,2
519,1,16.36,1,1,1
519,1,39.99,1,1,2
519,1,12.97,1,1,1
519,1,23.98,1,1,2
519,1,52.86,1,1,3
211,5,286.52,3,4,4
391,2,91.81,3,3,3
209,3,39.24,3,3,2
518,1,30.13,1,1,2
519,1,43.89,1,1,3
38,5,100.87,4,4,3
519,1,13.97,1,1,1
22,4,94.4,4,4,3
519,1,36.99,1,1,2
21,4,99.15,4,4,3
511,1,27.94,1,1,2
107,3,156.31,4,3,4
355,3,49.97,3,3,3
519,1,35.31,1,1,2
31,8,642.19,4,4,4
42,6,145.28,4,4,4
519,1,27.94,1,1,2
372,2,35.6,3,3,2
441,3,78.49,3,3,3
519,1,23.54,1,1,2
100,4,38.63,4,4,2
416,2,68.63,3,3,3
519,1,15.36,1,1,1
519,1,31.96,1,1,2
221,2,72.77,3,3,3
519,1,14.37,1,1,1
519,1,17.99,1,1,1
506,2,59.71,1,3,3
110,3,85.08,4,3,3
519,1,26.78,1,1,2
295,2,116.81,3,3,4
356,3,50.27,3,3,3
519,1,14.37,1,1,1
468,3,46.68,3,3,3
192,7,272.63,4,4,4
418,2,21.74,3,3,2
519,1,9.97,1,1,1
519,1,11.77,1,1,1
379,3,81.43,3,3,3
436,2,46.68,3,3,3
519,1,75.44,1,1,3
52,2,17.26,4,3,1
519,1,14.37,1,1,1
519,1,10.97,1,1,1
375,3,97.0,3,3,3
383,4,125.87,3,4,4
114,3,48.73,4,3,3
518,1,54.47,1,1,3
518,1,12.49,1,1,1
359,4,330.62,3,4,4
283,9,267.79,3,4,4
231,3,116.68,3,3,4
487,2,97.61,2,3,3
518,1,15.7,1,1,1
518,1,37.47,1,1,2
146,7,151.85,4,4,4
518,1,14.96,1,1,1
518,1,25.37,1,1,2
518,1,14.79,1,1,1
351,4,354.42,3,4,4
518,1,28.99,1,1,2
162,6,144.03,4,4,4
518,1,6.79,1,1,1
514,1,15.36,1,1,1
374,2,23.54,3,3,2
505,2,73.03,2,3,3
507,2,47.85,1,3,3
148,2,111.37,4,3,4
66,10,332.38,4,4,4
518,1,11.77,1,1,1
461,2,49.47,3,3,3
328,3,83.2,3,3,3
518,1,29.58,1,1,2
518,1,11.77,1,1,1
477,2,57.76,2,3,3
477,2,68.62,2,3,3
62,8,151.14,4,4,4
518,1,13.97,1,1,1
30,7,388.54,4,4,4
267,2,146.6,3,3,4
495,1,13.97,2,1,1
518,1,37.51,1,1,2
518,1,23.54,1,1,2
375,2,32.77,3,3,2
518,1,32.29,1,1,2
518,1,10.0,1,1,1
78,4,151.52,4,4,4
104,10,257.24,4,4,4
518,1,99.76,1,1,3
518,1,44.69,1,1,3
250,4,54.69,3,4,3
518,1,21.76,1,1,2
60,7,1498.21,4,4,4
64,72,2079.39,4,4,4
518,1,40.7,1,1,2
346,2,174.6,3,3,4
203,6,400.16,4,4,4
518,1,11.77,1,1,1
518,1,17.76,1,1,1
57,5,158.94,4,4,4
357,7,545.47,3,4,4
518,1,62.9,1,1,3
276,3,126.34,3,3,4
112,3,125.45,4,3,4
518,1,34.75,1,1,2
393,2,82.2,3,3,3
518,1,58.31,1,1,3
518,1,26.14,1,1,2
75,2,23.26,4,3,2
518,1,18.99,1,1,1
375,2,21.75,3,3,2
518,1,382.62,1,1,4
287,2,37.67,3,3,2
497,2,29.92,2,3,2
303,2,98.55,3,3,3
518,1,30.32,1,1,2
411,2,74.8,3,3,3
518,1,14.96,1,1,1
107,3,81.34,4,3,3
518,1,46.48,1,1,3
18,4,88.68,4,4,3
219,6,250.95,3,4,4
490,2,27.96,2,3,2
518,1,14.37,1,1,1
42,10,247.64,4,4,4
162,11,270.85,4,4,4
518,1,11.77,1,1,1
485,3,45.72,2,3,3
518,1,5.99,1,1,1
518,1,16.36,1,1,1
180,5,159.46,4,4,4
518,1,14.37,1,1,1
516,1,34.36,1,1,2
518,1,29.33,1,1,2
404,3,88.63,3,3,3
216,2,34.26,3,3,2
357,3,47.62,3,3,3
518,1,23.76,1,1,2
518,1,5.78,1,1,1
518,1,51.96,1,1,3
518,1,6.79,1,1,1
57,13,260.83,4,4,4
5,3,48.75,4,3,3
518,1,33.52,1,1,2
322,3,100.72,3,3,3
208,3,78.1,3,3,3
518,1,28.74,1,1,2
197,2,56.3,4,3,3
218,2,26.76,3,3,2
518,1,14.79,1,1,1
518,1,13.97,1,1,1
11,23,952.75,4,4,4
322,2,23.26,3,3,2
335,2,59.24,3,3,3
136,2,42.34,4,3,2
518,1,29.99,1,1,2
517,1,83.19,1,1,3
463,2,49.98,3,3,3
518,1,15.36,1,1,1
518,1,15.76,1,1,1
518,1,23.54,1,1,2
26,15,374.14,4,4,4
518,1,36.54,1,1,2
83,3,122.64,4,3,4
518,1,31.54,1,1,2
453,3,121.13,3,3,4
518,1,11.77,1,1,1
518,1,14.96,1,1,1
518,1,14.96,1,1,1
518,1,11.77,1,1,1
67,9,171.8,4,4,4
518,1,36.5,1,1,2
517,1,52.08,1,1,3
469,3,45.28,3,3,3
518,1,10.77,1,1,1
405,2,34.95,3,3,2
518,1,115.94,1,1,4
98,4,45.24,4,4,3
518,1,24.54,1,1,2
518,1,24.99,1,1,2
19,7,339.7,4,4,4
304,2,75.61,3,3,3
161,2,23.95,4,3,2
518,1,11.77,1,1,1
207,3,98.7,3,3,3
518,1,20.74,1,1,2
518,1,10.97,1,1,1
518,1,37.74,1,1,2
173,2,30.48,4,3,2
27,3,49.04,4,3,3
518,1,38.9,1,1,2
518,1,100.32,1,1,3
518,1,14.96,1,1,1
518,1,13.97,1,1,1
13,6,1570.67,4,4,4
518,1,27.73,1,1,2
518,1,15.7,1,1,1
475,1,28.56,2,1,2
174,5,476.1,4,4,4
518,1,15.99,1,1,1
330,2,61.06,3,3,3
518,1,35.77,1,1,2
232,2,73.23,3,3,3
426,2,25.88,3,3,2
43,6,172.37,4,4,4
518,1,24.99,1,1,2
518,1,14.99,1,1,1
53,3,203.24,4,3,4
518,1,27.94,1,1,2
518,1,10.97,1,1,1
272,2,20.48,3,3,2
518,1,25.99,1,1,2
306,3,53.51,3,3,3
26,5,173.54,4,4,4
518,1,131.16,1,1,4
518,1,11.77,1,1,1
518,1,13.97,1,1,1
456,3,82.51,3,3,3
207,2,199.41,3,3,4
518,1,20.99,1,1,2
245,4,182.34,3,4,4
205,3,79.95,4,3,3
8,23,775.26,4,4,4
101,2,67.59,4,3,3
518,1,19.99,1,1,2
518,1,26.99,1,1,2
518,1,19.99,1,1,2
518,1,19.99,1,1,2
61,3,89.8,4,3,3
518,1,19.99,1,1,2
518,1,3.99,1,1,1
92,3,151.8,4,3,4
9,4,50.22,4,4,3
518,1,11.97,1,1,1
518,1,9.99,1,1,1
518,1,83.16,1,1,3
518,1,11.77,1,1,1
118,3,105.1,4,3,3
504,1,89.4,2,1,3
36,4,436.04,4,4,4
170,2,75.95,4,3,3
518,1,19.99,1,1,2
109,3,86.42,4,3,3
488,2,95.19,2,3,3
482,2,80.03,2,3,3
518,1,46.37,1,1,3
24,2,102.25,4,3,3
280,2,19.78,3,3,1
42,8,112.02,4,4,4
518,1,14.96,1,1,1
518,1,23.54,1,1,2
518,1,14.96,1,1,1
186,3,43.92,4,3,3
476,2,36.93,2,3,2
257,9,636.25,3,4,4
34,3,96.38,4,3,3
388,3,41.71,3,3,2
59,6,397.42,4,4,4
49,2,155.64,4,3,4
518,1,19.99,1,1,2
518,1,20.99,1,1,2
518,1,32.6,1,1,2
336,3,60.31,3,3,3
518,1,47.48,1,1,3
75,3,51.68,4,3,3
518,1,68.67,1,1,3
518,1,13.97,1,1,1
517,1,61.24,1,1,3
518,1,18.99,1,1,1
62,4,79.3,4,4,3
168,4,92.02,4,4,3
100,20,827.28,4,4,4
518,1,11.77,1,1,1
518,1,13.97,1,1,1
306,3,72.66,3,3,3
65,4,161.03,4,4,4
518,1,14.96,1,1,1
61,9,566.51,4,4,4
518,1,16.36,1,1,1
510,2,27.13,1,3,2
518,1,15.76,1,1,1
365,3,287.9,3,3,4
518,1,14.37,1,1,1
506,1,17.3,1,1,1
445,2,230.08,3,3,4
43,5,94.66,4,4,3
183,8,129.67,4,4,4
504,2,65.87,2,3,3
518,1,9.98,1,1,1
518,1,14.37,1,1,1
510,2,113.71,1,3,4
149,3,55.15,4,3,3
490,1,16.7,2,1,1
171,2,39.41,4,3,2
518,1,14.37,1,1,1
48,5,90.57,4,4,3
518,1,35.8,1,1,2
110,2,87.65,4,3,3
509,1,13.97,1,1,1
477,2,45.9,2,3,3
60,3,77.78,4,3,3
518,1,31.99,1,1,2
471,2,170.85,3,3,4
44,3,44.32,4,3,3
513,3,85.99,1,3,3
518,1,19.99,1,1,2
20,3,106.13,4,3,3
142,11,327.67,4,4,4
504,1,37.31,2,1,2
518,1,36.48,1,1,2
251,4,120.35,3,4,4
109,2,63.15,4,3,3
518,1,46.72,1,1,3
516,2,44.36,1,3,3
98,2,214.01,4,3,4
493,2,47.98,2,3,3
479,2,61.66,2,3,3
423,3,42.28,3,3,2
517,1,11.97,1,1,1
516,2,30.33,1,3,2
517,1,15.76,1,1,1
487,2,35.14,2,3,2
79,4,61.0,4,4,3
230,5,82.44,3,4,3
517,1,13.97,1,1,1
66,16,545.68,4,4,4
337,2,69.44,3,3,3
517,1,14.37,1,1,1
505,2,44.94,2,3,3
517,1,56.69,1,1,3
22,3,54.95,4,3,3
128,4,169.75,4,4,4
357,2,233.06,3,3,4
62,2,63.95,4,3,3
517,1,13.99,1,1,1
517,1,28.33,1,1,2
517,1,15.36,1,1,1
485,2,28.95,2,3,2
517,1,15.36,1,1,1
196,12,794.28,4,4,4
517,1,14.79,1,1,1
38,11,310.12,4,4,4
